"id","disposition","priority","target_journey","dependency_or_risk","rationale"
"IMP-01","include","P1","Site navigation and content discovery","Keep seller-first primary conversion","Supports the confirmed content and SEO role without copying the reference navigation."
"IMP-02","include","P1","Seller content hub","Bilingual editorial content required","Creates search-intent coverage for the main property types."
"IMP-03","include","P1","Local SEO landing pages","No live prices or market claims without approved data","Use the local page and internal-linking structure only."
"IMP-04","reject","—","—","External market-data provider","Outside the confirmed content and SEO role and excluded from implementation."
"IMP-05","reject","—","—","CRM and real buyer data","Outside the confirmed reference role."
"IMP-06","reject","—","—","OnOffice and authenticated portal","Outside the confirmed reference role and explicitly excluded."
"IMP-07","reject","—","—","Approved reference inventory required","Outside the confirmed reference role."
"IMP-08","reject","—","—","Production valuation processing","Outside the confirmed reference role."
"IMP-09","reject","—","—","External scheduling service","Outside the confirmed reference role and explicitly excluded."
"IMP-10","reject","—","—","External tour and approved property media","Outside the confirmed reference role."
"IMP-11","reject","—","—","Live review provider and claim verification","Outside the confirmed reference role."
"IMP-12","include","P1","Seller content hub and FAQs","Original bilingual copy required","Directly supports the confirmed content and SEO role."
"DAH-01","reject","—","—","Approved live inventory","Outside the confirmed property-search role."
"DAH-02","defer","Future","Property search","Approved real listing feed and location data","Selected PLZ/location/object-ID search cannot be implemented honestly against placeholder inventory."
"DAH-03","defer","Future","Property search","Approved real listing feed and filter facets","Selected filters must wait for production listing data."
"DAH-04","reject","—","—","Account and production search data","Outside the confirmed search requirement."
"DAH-05","reject","—","—","Valuation integrations","Outside the confirmed search requirement."
"DAH-06","reject","—","—","None","Outside the confirmed search requirement."
"DAH-07","reject","—","—","Verified proof and quotations","Outside the confirmed search requirement."
"DAH-08","reject","—","—","Approved market data","Outside the confirmed search requirement."
"DAH-09","reject","—","—","None","Outside the confirmed search requirement."
"DAH-10","reject","—","—","Approved office/location data","Outside the confirmed search requirement."
"EV-01","reject","—","—","Production inventory and AI search","Outside the confirmed Makler-recruiting content role."
"EV-02","reject","—","—","Production inventory and maps","Outside the confirmed Makler-recruiting content role."
"EV-03","reject","—","—","None","User approved the recommended narrow recruiting-content interpretation."
"EV-04","reject","—","—","None","User approved the recommended narrow recruiting-content interpretation."
"EV-05","include","P1","Makler recruiting page","Original role positioning and bilingual copy","Core guide for the confirmed recruiting-content role."
"EV-06","reject","—","—","Finance data and integration","Outside the confirmed recruiting-content role."
"EV-07","reject","—","—","Live listings and market indicators","User approved the recommended narrow recruiting-content interpretation."
"EV-08","include","P1","Makler recruiting page","Verify Immonation benefits and remuneration claims","Use only benefits, tools, training, and earning language the business can substantiate."
"EV-09","include","P1","Makler recruiting page","Avoid discriminatory or unsupported criteria","Clarifies role fit and candidate expectations."
"EV-10","include","P1","Makler recruiting page","Static FAQ only; no external job/location feed","Adds a complete recruiting decision journey without an integration."
"EV-11","reject","—","—","Newsletter integration","User approved the recommended narrow recruiting-content interpretation."
"VO-01","include","P1","Homepage Premium-Vermarktung section","Original design and copy","Anchors the requested premium marketing story in concrete Immonation deliverables."
"VO-02","include","P1","Homepage Premium-Vermarktung section","Use only approved Immonation media","Professional photography is already represented in Immonation service copy."
"VO-03","include","P2","Homepage Premium-Vermarktung section","Confirm drone service before making a claim","Include only if substantiated; otherwise omit from published copy."
"VO-04","include","P2","Homepage Premium-Vermarktung section","Use original or approved staging media","Virtual staging is already represented in Immonation copy."
"VO-05","include","P1","Homepage Premium-Vermarktung section","Local media only; no external tour embed","Build on the existing local 360-degree presentation module."
"VO-06","include","P1","Homepage Premium-Vermarktung section","Use only substantiated channel claims","Social and multi-channel marketing already appears in Immonation copy."
"VO-07","include","P1","Homepage Premium-Vermarktung section","Use only substantiated deliverables","Floor-plan and expose preparation are already represented in Immonation copy."
"VO-08","defer","Future","Homepage Premium-Vermarktung proof","Approved before-and-after asset pairs required","The pattern is useful but cannot be fabricated or copied."
"VO-09","reject","—","—","None","Outside the specifically selected homepage Premium-Vermarktung section."
"VO-10","reject","—","—","Approved people and video rights","Outside the specifically selected homepage Premium-Vermarktung section."
"VO-11","reject","—","—","Approved property inventory","Outside the specifically selected homepage Premium-Vermarktung section."
"VO-12","reject","—","—","None","Outside the specifically selected homepage Premium-Vermarktung section."
"VP-01","reject","—","—","None","Outside the confirmed AI-assistant-only role."
"VP-02","reject","—","—","Production listings and AI search","AI property search is not the selected AI assistant."
"VP-03","reject","—","—","Account infrastructure","Outside the confirmed AI-assistant-only role."
"VP-04","reject","—","—","Valuation processing","Outside the confirmed AI-assistant-only role."
"VP-05","reject","—","—","Market and transaction data","Outside the confirmed AI-assistant-only role."
"VP-06","reject","—","—","Search and finance integrations","Outside the confirmed AI-assistant-only role."
"VP-07","reject","—","—","New business services","Outside the confirmed AI-assistant-only role."
"VP-08","reject","—","—","Market-data provider","Outside the confirmed AI-assistant-only role."
"VP-09","reject","—","—","None","Outside the confirmed AI-assistant-only role."
"VP-10","reject","—","—","Scheduling and review providers","Outside the confirmed AI-assistant-only role."
"VP-11","defer","Future","AI assistant","External AI integration explicitly excluded","Retain as future research only; no mock assistant."
"EVE-01","reject","—","—","Valuation processing","Outside the confirmed knowledge-hub role."
"EVE-02","reject","—","—","Production listings and search profile","Outside the confirmed knowledge-hub role."
"EVE-03","reject","—","—","Approved live and sold inventory","Outside the confirmed knowledge-hub role."
"EVE-04","reject","—","—","Approved premium inventory","Outside the confirmed knowledge-hub role."
"EVE-05","reject","—","—","CRM and valuation data","Outside the confirmed knowledge-hub role."
"EVE-06","reject","—","—","Verified proof claims","Outside the confirmed knowledge-hub role."
"EVE-07","reject","—","—","Approved location/office data","Outside the confirmed knowledge-hub role."
"EVE-08","reject","—","—","Business model expansion","Outside the confirmed knowledge-hub role."
"EVE-09","include","P1","Guide and knowledge hub","Content taxonomy and bilingual editorial metadata","Directly implements the confirmed guide/knowledge-hub reference role."
"EVE-10","include","P2","Guide and downloads hub","Approved accessible download files required for publication","Connect existing downloads to relevant guide categories; do not fabricate documents."
"EVE-11","include","P2","Guide and knowledge hub","FAQ only; newsletter remains excluded","Use the FAQ pattern as part of the hub and reject the bundled newsletter feature."
"IW-01","reject","—","—","Address data and market-data hierarchy","Outside the confirmed heatmap-only role."
"IW-02","reject","—","—","Market data","Outside the confirmed heatmap-only role."
"IW-03","reject","—","—","Market data","Outside the confirmed heatmap-only role."
"IW-04","reject","—","—","Market data methodology","Outside the confirmed heatmap-only role."
"IW-05","reject","—","—","Market data methodology","Outside the confirmed heatmap-only role."
"IW-06","reject","—","—","Historical market data","Outside the confirmed heatmap-only role."
"IW-07","reject","—","—","Market data and district hierarchy","Outside the confirmed heatmap-only role."
"IW-08","defer","Future","Property-price heatmap","Market-data provider and interactive map functionality","Only the heatmap is selected; the bundled calculator is rejected."
"KK-01","reject","—","—","Production inventory","Königskinder is a secondary content reference, not a search feature source."
"KK-02","reject","—","—","Possible unconfirmed service scope","Secondary corroboration only; it does not create a standalone backlog item."
"KK-03","reject","—","—","None","Secondary support for seller content already justified by ImmoPartner."
"KK-04","reject","—","—","Landlord scope is unconfirmed","Secondary comparison only; no new landlord service is inferred."
"KK-05","reject","—","—","Editorial capacity","Secondary comparison only; the approved knowledge hub is justified by Evernest."
"KK-06","reject","—","—","Market-data provider","Not selected as a feature reference."
"KK-07","reject","—","—","Unconfirmed specialist services","Secondary comparison cannot introduce new business services."
"KK-08","reject","—","—","Approved reference inventory","Secondary comparison only; reference data is not approved."
"KK-09","reject","—","—","Live statistics, reviews, and newsletter providers","Static local-content ideas may corroborate included SEO work but create no separate feature."
"EN-01","reject","—","—","Production inventory","Outside the confirmed customer-video-only role."
"EN-02","reject","—","—","Approved sold-property inventory","Outside the confirmed customer-video-only role."
"EN-03","defer","Future","Homepage customer stories","Written testimonial/video rights plus web-ready local media","Selected pattern is retained but source-archive candidates are not publication-ready."
"EN-04","reject","—","—","Verified marketing proof","Outside the confirmed customer-video-only role."
"EN-05","reject","—","—","Production property data","Outside the confirmed customer-video-only role."
"EN-06","reject","—","—","Approved property-video media","Professional property videos are not customer-story videos."
"EN-07","reject","—","—","Valuation, reviews, and market content","Outside the confirmed customer-video-only role."
"EN-08","reject","—","—","External video provider","The consent facade is not part of the selected reference reason; local media is preferred."
