"id","site","feature","category","source_url","immonation_state","implementation_boundary","intent_status","observation_confidence","notes"
"IMP-01","ImmoPartner","Intent-based navigation for owners, buyers, renters, prices, and company proof","navigation","https://www.immopartner.de/","partial","candidate","pending","99","Immonation has a smaller seller-first mega menu."
"IMP-02","ImmoPartner","Separate seller pages for house, apartment, land, and apartment building","seller-content","https://www.immopartner.de/eigentuemer/verkaufen/","partial","candidate","pending","99","Immonation currently has a small typed service registry rather than the full seller taxonomy."
"IMP-03","ImmoPartner","Local property-price pages for Nürnberg, Fürth, and Erlangen","local-seo","https://www.immopartner.de/immobilienpreise/nuernberg/","missing","candidate-content-only","pending","99","Current market figures require an approved data source; local page structure can be evaluated separately."
"IMP-04","ImmoPartner","Interactive price atlas","market-data","https://www.immopartner.de/eigentuemer/immobilienpreise/preisatlas/","missing","external-excluded","pending","99","Embedded third-party market-data tool."
"IMP-05","ImmoPartner","Buyer finder using property details and contact capture","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/kaeuferfinder/","missing","external-excluded","pending","99","Real matching depends on CRM/search-customer data; mock matching is also excluded."
"IMP-06","ImmoPartner","Owner object-tracking portal","digital-service","https://www.immopartner.de/eigentuemer/verkaufen/objekttracking/","missing","external-excluded","pending","100","OnOffice-backed authenticated/embedded service."
"IMP-07","ImmoPartner","Filterable reference-property inventory","references","https://www.immopartner.de/unternehmen/referenzobjekte/","missing","candidate-after-approved-data","pending","99","Filters include property type, transaction type, text inputs, and sorting."
"IMP-08","ImmoPartner","Online property valuation entry","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/wert/","partial","candidate-static-flow-only","pending","99","Immonation has valuation content and a basic form but not the confirmed wizard."
"IMP-09","ImmoPartner","Consultation scheduling","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/immobiliensprechstunde/","partial","external-excluded","pending","98","Immonation has booking copy only; scheduling service integration is excluded."
"IMP-10","ImmoPartner","Matterport 360-degree demonstration","marketing-proof","https://www.immopartner.de/eigentuemer/verkaufen/haus/special-matterport-pro-3d-kamera/","partial","external-excluded","pending","99","The benefit can be described locally; an external Matterport experience is excluded."
"IMP-11","ImmoPartner","Current customer-review stream","trust","https://www.immopartner.de/","partial","external-excluded","pending","99","Live Google/review-provider integration is excluded. Approved static testimonials remain a separate candidate."
"IMP-12","ImmoPartner","Seller guide, blog, and topic-specific FAQs","content-resources","https://www.immopartner.de/eigentuemer/verkaufen/haus/fuer-privat/","partial","candidate","pending","99","Immonation has the routes but minimal content depth."
"DAH-01","DAHLER","Curated premium homepage with current listings and one property highlight","brand-presentation","https://www.dahlercompany.com/de","partial","candidate","pending","99","Feature concerns composition and hierarchy, not copying DAHLER styling."
"DAH-02","DAHLER","Property search by location or object ID","buyer-search","https://www.dahlercompany.com/de/immobiliensuche","missing","requires-real-listing-data","pending","100","No mock inventory or feed integration is allowed."
"DAH-03","DAHLER","Progressive filters for property type, price, area, rooms, and additional criteria","buyer-search","https://www.dahlercompany.com/de/immobiliensuche","missing","requires-real-listing-data","pending","100","Can only be implemented against approved real inventory data."
"DAH-04","DAHLER","Saved search profile and off-market positioning","buyer-search","https://www.dahlercompany.com/de/immobilie-kaufen/suchprofil-anlegen","missing","external-excluded","pending","99","Delivery and matching require an external/CRM service."
"DAH-05","DAHLER","Three valuation modes: online, video, and in-person","seller-conversion","https://www.dahlercompany.com/de/immobilienbewertung","missing","candidate-choice-content; external-actions-excluded","pending","100","Mode explanation is local content; calculation and scheduling are excluded."
"DAH-06","DAHLER","Four-step valuation-process explanation","seller-content","https://www.dahlercompany.com/de/immobilienbewertung","partial","candidate","pending","100","Immonation has a valuation process but may need comparison for completeness."
"DAH-07","DAHLER","Valuation benefits, proof, quotation, and FAQ on one page","seller-content","https://www.dahlercompany.com/de/immobilienbewertung","partial","candidate; proof-rights-gated","pending","99","Any Immonation claims and quotations require approval."
"DAH-08","DAHLER","Regional property-price content and market reports","local-seo","https://www.dahlercompany.com/de/immobilienpreise","missing","candidate-content-only; live-data-excluded","pending","99","Dated factual figures require a verified source."
"DAH-09","DAHLER","Property knowledge hub","content-resources","https://www.dahlercompany.com/de/immobilienwissen","partial","candidate","pending","99","Immonation has a guide route but not a developed taxonomy."
"DAH-10","DAHLER","Local expert/location discovery","local-seo","https://www.dahlercompany.com/de/immobilienmakler","missing","candidate","pending","98","Immonation is regional rather than a national office network; pattern may translate to service-area pages."
"EV-01","Engel & Völkers","Buy, rent, or AI-assisted search mode","buyer-search","https://www.engelvoelkers.com/de/de","missing","AI-external-excluded; conventional-search-requires-data","pending","100","AI and external inventory functions are excluded."
"EV-02","Engel & Völkers","Results with radius, filters, sort, favorites, map, and counts","buyer-search","https://www.engelvoelkers.com/de/de/immobilien/res/kaufen/immobilien","missing","requires-real-listing-data; map-external-excluded","pending","100","No mock property search is allowed."
"EV-03","Engel & Völkers","Dedicated buyer guide","content-resources","https://www.engelvoelkers.com/de/de/ressourcen/kaeufer","partial","candidate","pending","99","Immonation has a buyer page but not a structured buyer knowledge journey."
"EV-04","Engel & Völkers","Dedicated seller guide","content-resources","https://www.engelvoelkers.com/de/de/ressourcen/verkaeufer","partial","candidate","pending","99","Seller content currently sits across services, FAQ, and a minimal blog."
"EV-05","Engel & Völkers","Dedicated broker-career guide","careers","https://www.engelvoelkers.com/de/de/ressourcen/makler","missing","candidate","pending","99","Could support self-employed partner acquisition without copying brand language."
"EV-06","Engel & Völkers","Budget calculator and financing entry","buyer-tools","https://www.engelvoelkers.com/de/de/finanzierung/budgetrechner","partial","external-excluded","pending","99","Immonation mentions financing but provider-backed calculators are excluded."
"EV-07","Engel & Völkers","Local city pages combining listings, expertise, indicators, guides, and contact","local-seo","https://www.engelvoelkers.com/de/de/hamburg","missing","candidate-content-only; data/inventory-excluded","pending","99","The local content composition is separable from live integrations."
"EV-08","Engel & Völkers","Recruiting benefits, academy, tools, and earnings explanation","careers","https://www.engelvoelkers.com/de/de/immobilienmakler-werden","missing","candidate; claims-approval-gated","pending","100","Immonation careers page is generic."
"EV-09","Engel & Völkers","Candidate-profile criteria","careers","https://www.engelvoelkers.com/de/de/immobilienmakler-werden","missing","candidate","pending","100","Observed criteria include sales affinity, communication, initiative, service, and entrepreneurship."
"EV-10","Engel & Völkers","Recruiting FAQs and local opportunity discovery","careers","https://www.engelvoelkers.com/de/de/immobilienmakler-werden","missing","candidate; jobs/integration-excluded","pending","99","Static FAQs are in scope; external job/location feeds are excluded."
"EV-11","Engel & Völkers","Lifestyle magazine and newsletter","content-resources","https://www.engelvoelkers.com/de/de/gg-magazine","partial","magazine-candidate; newsletter-delivery-excluded","pending","99","Immonation has a magazine flipbook but no newsletter delivery."
"VO-01","VON OTTO","Seller-first premium proposition tied to concrete deliverables","brand-presentation","https://von-otto.de/","partial","candidate","pending","99","Useful principle if supported by approved Immonation proof."
"VO-02","VON OTTO","Professional property-photography module","marketing-proof","https://von-otto.de/","missing","candidate-after-approved-assets","pending","100","Can use only approved Immonation examples."
"VO-03","VON OTTO","Drone-imagery module","marketing-proof","https://von-otto.de/","missing","candidate-after-approved-assets","pending","100","Claims and examples require evidence and rights."
"VO-04","VON OTTO","Virtual-staging and home-design module","marketing-proof","https://von-otto.de/","missing","candidate-after-approved-assets","pending","100","Archive contains AI-visualization candidates subject to provenance and approval."
"VO-05","VON OTTO","3D-tour module","marketing-proof","https://von-otto.de/","partial","candidate-local-proof; external-tour-excluded","pending","100","External tour provider is excluded."
"VO-06","VON OTTO","Social-media marketing and multi-platform distribution explanation","marketing-proof","https://von-otto.de/","partial","candidate-content-only","pending","100","Avoid unverified reach/performance claims."
"VO-07","VON OTTO","3D floor-plan and professional-exposé modules","marketing-proof","https://von-otto.de/","missing","candidate-after-approved-assets","pending","100","Requires real Immonation examples."
"VO-08","VON OTTO","Before-and-after property-presentation comparison","marketing-proof","https://von-otto.de/","missing","candidate-after-approved-assets","pending","100","Strong proof pattern if source rights and authenticity are approved."
"VO-09","VON OTTO","System/process explanation with team responsibilities and buyer qualification","seller-content","https://von-otto.de/","partial","candidate","pending","99","Immonation has a sales timeline but not a responsibility model."
"VO-10","VON OTTO","Team profiles and marketing/property videos","trust","https://von-otto.de/","partial","candidate-after-approved-assets","pending","99","Team and video materials require approval."
"VO-11","VON OTTO","Selected-property showcase and property detail presentation","buyer-listings","https://von-otto.de/immobilien","partial","requires-real-listing-data","pending","99","The observed inventory is CRM-embedded; integration is excluded."
"VO-12","VON OTTO","Marketing-focused blog and seller FAQs","content-resources","https://von-otto.de/blog/virtual-staging-zukunft","partial","candidate","pending","99","Topics align with Immonation's premium-marketing story."
"VP-01","VON POLL","Task-based architecture for evaluate, sell, buy, finance, manage, and renovate","navigation","https://www.von-poll.com/de","partial","candidate","pending","100","Immonation should remain smaller and seller-first."
"VP-02","VON POLL","Conventional search and AI search as distinct modes","buyer-search","https://www.von-poll.com/de","missing","external-excluded","pending","100","Both modes depend on external services/real data."
"VP-03","VON POLL","Customer account for searches, financing, valuation updates, and services","digital-service","https://home.von-poll.com/","missing","external-excluded","pending","100","Authenticated platform is outside scope."
"VP-04","VON POLL","Valuation routes tailored by property type","seller-conversion","https://home.von-poll.com/de-de/immobilie-bewerten","partial","candidate-content-only; calculation-excluded","pending","99","Could improve entry relevance without implementing calculations."
"VP-05","VON POLL","Interactive sale simulator","seller-conversion","https://home.von-poll.com/de-de/immobilie-verkaufen","missing","external-excluded","pending","99","External interactive process and lead handling."
"VP-06","VON POLL","Search profile, finance calculation, and finance certificate","buyer-tools","https://home.von-poll.com/de-de/immobilie-suchen","missing","external-excluded","pending","100","All depend on external services."
"VP-07","VON POLL","Property management and renovation journeys","service-expansion","https://home.von-poll.com/de-de/immobilie-verwalten","missing","outside-current-product-scope","pending","99","Would expand Immonation's confirmed service scope and needs explicit approval."
"VP-08","VON POLL","Embedded price atlas and market reports","market-data","https://www.von-poll.com/de/immobilien-preisatlas","missing","external-excluded","pending","100","Third-party iframe and proprietary data."
"VP-09","VON POLL","Magazine, real-estate blog, tech blog, and guide taxonomy","content-resources","https://www.von-poll.com/de/unternehmen/beste-lage-magazin","partial","candidate","pending","99","Immonation already has magazine and guide foundations."
"VP-10","VON POLL","Online appointment and aggregated review proof","trust-conversion","https://www.von-poll.com/de","partial","external-excluded","pending","100","External scheduling and review provider."
"VP-11","VON POLL","AI assistant for valuation, sale, purchase, finance, energy, and management","digital-service","https://www.von-poll.com/de/tech-blog/immobilienfragen-der-ki-assistent-von-von-poll-immobilien-hat-die-antwort","missing","external-excluded","pending","100","Only research/documentation can remain in scope under the current rule."
"EVE-01","Evernest","Address-first valuation entry","seller-conversion","https://www.evernest.com/de/","partial","external-excluded","clear","100","Immonation has a basic property form but address lookup/calculation is external."
"EVE-02","Evernest","Three primary service choices: valuation, listings, and search profile","navigation","https://www.evernest.com/de/","partial","candidate; search-profile-delivery-excluded","clear","100","Pattern supports clear task orientation."
"EVE-03","Evernest","Current and sold properties in the same discovery surface","references-listings","https://www.evernest.com/de/","partial","requires-approved-real-data","clear","99","Could connect buyer inventory with seller proof if the distinction stays explicit."
"EVE-04","Evernest","Separately branded premium-property selection","buyer-listings","https://www.evernest.com/de/","missing","requires-approved-real-data","clear","99","May be unnecessary for a regional seller-first brand."
"EVE-05","Evernest","Search-profile lead capture and valuation value tracking","digital-service","https://www.evernest.com/de/seiten/suchkunden-deutschland/","missing","external-excluded","clear","100","Requires delivery, data, and account/service integration."
"EVE-06","Evernest","Benefit framing: modern marketing, technology, and local advice","brand-presentation","https://www.evernest.com/de/","partial","candidate","clear","99","Closely matches Immonation's intended positioning."
"EVE-07","Evernest","Location directory and local-office pages","local-seo","https://www.evernest.com/de/unsere-makler/","missing","candidate","clear","100","Translate to service-area/location pages, not an office network."
"EVE-08","Evernest","Separate franchise, broker, employee, and job journeys","careers","https://www.evernest.com/de/karriere/","partial","candidate; external-job-feed-excluded","clear","100","Immonation needs distinct employee and self-employed partner journeys."
"EVE-09","Evernest","Categorized knowledge hub for selling, buying, valuation, brokers, prices, finance, energy, and careers","content-resources","https://www.evernest.com/de/ratgeber/","missing","candidate","clear","100","Confirmed reference reason."
"EVE-10","Evernest","Musterdokumente/download library connected to guide categories","content-resources","https://www.evernest.com/de/musterdokumente/","partial","candidate-after-legal-and-accessibility-review","clear","100","Curated Immonation archive includes handover-protocol candidates."
"EVE-11","Evernest","FAQ and newsletter modules","content-resources","https://www.evernest.com/de/","partial","FAQ-candidate; newsletter-delivery-excluded","clear","100","Immonation has FAQs but no newsletter service."
"IW-01","Immowelt","Address/place search into hierarchical price pages","market-data","https://www.immowelt.de/immobilienpreise/deutschland","missing","external-excluded","pending","100","Requires place autocomplete and market dataset."
"IW-02","Immowelt","Purchase/rent and house/apartment switching","market-data","https://www.immowelt.de/immobilienpreise/deutschland","missing","external-excluded","pending","100","Data-backed control."
"IW-03","Immowelt","Current average, minimum, and maximum square-metre prices","market-data","https://www.immowelt.de/immobilienpreise/deutschland","missing","external-excluded","pending","100","Requires dated verified figures."
"IW-04","Immowelt","Accuracy indicator and last-updated date","market-data","https://www.immowelt.de/immobilienpreise/deutschland","missing","external-excluded","pending","100","Good transparency pattern but meaningless without a real dataset."
"IW-05","Immowelt","Methodology disclosure","data-transparency","https://www.immowelt.de/immobilienpreise/deutschland","missing","candidate-only-if-data-exists","pending","100","Any future data page must disclose source and calculation method."
"IW-06","Immowelt","Historical annual prices and year-over-year changes","market-data","https://www.immowelt.de/immobilienpreise/hamburg-heimfeld/","missing","external-excluded","pending","100","Requires maintained source data."
"IW-07","Immowelt","Nearby district comparison and deep internal linking","local-seo","https://www.immowelt.de/immobilienpreise/hamburg-heimfeld/","missing","candidate-content-structure; figures-excluded","pending","99","Page relationships can inform future location architecture."
"IW-08","Immowelt","Interactive price map and online calculator","market-data","https://www.immowelt.de/immobilienpreise/deutschland","missing","external-excluded","pending","100","Explicitly excluded under the no-external-integrations decision."
"KK-01","Königskinder","Advanced property search on the homepage","buyer-search","https://koenigskinder.de/","missing","requires-real-listing-data","pending","100","Observed controls include transaction/use/property type, place, radius, object ID, area, rooms, rent, and price."
"KK-02","Königskinder","Four service tracks: buy, value, sell, and finance","navigation","https://koenigskinder.de/","partial","candidate","pending","100","Immonation has the tracks but financing is not a distinct implemented route."
"KK-03","Königskinder","Detailed seller-process responsibilities","seller-content","https://koenigskinder.de/service/fuer-verkaeufer/","partial","candidate","pending","100","Includes documents, floor plans, area calculation, energy certificate, viewings, contract, and handover."
"KK-04","Königskinder","Seller and landlord service taxonomy","seller-content","https://koenigskinder.de/service/","partial","candidate-only-with-confirmed-service-scope","pending","99","Landlord services may be outside Immonation's confirmed scope."
"KK-05","Königskinder","Real-estate glossary","content-resources","https://koenigskinder.de/service/immobilien-glossar/","missing","candidate","pending","100","Could support SEO/AEO if maintained and non-generic."
"KK-06","Königskinder","Property atlas","market-data","https://koenigskinder.de/service/immobilienatlas/","missing","external-excluded","pending","99","Requires market/location data."
"KK-07","Königskinder","Anonymous sale, premium sale, direct purchase, partial sale, and company sale pages","specialist-services","https://koenigskinder.de/service/","missing","outside-current-product-scope","pending","100","Each would expand confirmed services and needs explicit user/business approval."
"KK-08","Königskinder","Reference inventory","references","https://koenigskinder.de/referenzen/","partial","candidate-after-approved-data","pending","100","Immonation has source candidates but no reference routes/model."
"KK-09","Königskinder","Location pages, statistics, customer reviews, and newsletter","local-seo-trust","https://koenigskinder.de/","partial","content-candidate; live-data-and-newsletter-excluded","pending","99","Claims and reviews require approval."
"EN-01","Enora Immobilien","Regional seller-first homepage with current listings","brand-presentation","https://www.enora-immobilien.de/","partial","requires-real-listing-data","pending","100","Immonation is seller-first but current listings are placeholder content."
"EN-02","Enora Immobilien","Large sold-property archive","references","https://www.enora-immobilien.de/immobilie-kaufen-in-schwabach-umgebung-enora-immobilien/#referenzen","missing","candidate-after-approved-data","pending","100","Immonation has 26 drafted cases and 21 media folders with approval gates."
"EN-03","Enora Immobilien","Named customer-story video modules","testimonials","https://www.enora-immobilien.de/","partial","candidate-after-rights-approval; external-video-excluded","pending","100","Immonation has named testimonial source candidates, including one locally transcribed interview."
"EN-04","Enora Immobilien","Local expertise and proof tied to marketing services","brand-presentation","https://www.enora-immobilien.de/","partial","candidate-after-claim-approval","pending","99","Requires verifiable Immonation evidence."
"EN-05","Enora Immobilien","Dedicated website for each property","marketing-proof","https://www.enora-immobilien.de/","missing","requires-real-listing-data; external-publishing-excluded","pending","99","Could mean richer local property detail pages or external microsites; intent is unclear."
"EN-06","Enora Immobilien","Professional property-video proof","marketing-proof","https://www.enora-immobilien.de/","partial","candidate-after-rights-approval","pending","100","Immonation has property and social video foundations plus curated source media."
"EN-07","Enora Immobilien","Valuation entry, rating statistics, FAQs, and local SEO copy","seller-conversion","https://www.enora-immobilien.de/","partial","candidate; live-services-excluded; claims-gated","pending","100","Static content patterns are separable from external providers."
"EN-08","Enora Immobilien","Consent-aware placeholders before external testimonial media loads","privacy-ux","https://www.enora-immobilien.de/","partial","candidate-if-external-media-is-later-approved","pending","98","Current external integrations are excluded, but the pattern is relevant to future consent design."
